year    month   day             Temperature
    2018      11      17         0.45667
    2018      11      18        -0.83133
    2018      11      19         1.42733
    2018      11      20          -3.114
    2018      11      21        -5.24533
    2018      11      22        -7.14467
    2018      11      23         0.90067
    2018      11      24           1.788
    2018      11      25           4.358
    2018      11      26           3.832
    2018      11      27        -0.90333
    2018      11      28         0.24733
    2018      11      29           -1.76
    2018      11      30           -0.04
    2018      12       1         0.86133
    2018      12       2         8.28733
    2018      12       3         0.50533
    2018      12       4        -2.09467
    2018      12       5           -1.11
    2018      12       6          -1.044
    2018      12       7          -6.588
    2018      12       8        -3.04533
    2018      12       9        -3.00133
    2018      12      10           -0.76
    2018      12      11          -3.212
    2018      12      12         0.33667
    2018      12      13            0.86
    2018      12      14         2.93667
    2018      12      15         1.66933
    2018      12      16         0.67733
    2018      12      17           0.474
    2018      12      18        -2.27733
    2018      12      19         3.08267
    2018      12      20           3.756
    2018      12      21         2.40867
    2018      12      22          -2.394
    2018      12      23        -1.75667
    2018      12      24        -1.54867
    2018      12      25            -0.4
    2018      12      26            0.69
    2018      12      27          -1.734
    2018      12      28         9.44667
    2018      12      29          -4.604
    2018      12      30          -1.124
    2018      12      31            1.52
